gender,race,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group E,high school,free/reduced,completed,81,74,70
male,group A,high school,standard,none,56,54,46
female,group C,some college,standard,none,75,77,73
female,group A,associate's degree,standard,none,49,50,57
female,group B,associate's degree,free/reduced,none,47,57,51
male,group C,high school,standard,none,54,45,36
female,group B,some high school,standard,none,79,89,86
male,group E,high school,standard,none,74,77,72
female,group C,some college,free/reduced,none,52,61,57
male,group D,associate's degree,free/reduced,none,48,46,40
male,group C,high school,free/reduced,none,53,59,53
female,group E,some high school,free/reduced,completed,39,50,48
male,group C,some college,free/reduced,none,49,56,47
female,group C,bachelor's degree,standard,none,78,79,86
male,group E,associate's degree,standard,none,85,79,77
female,group D,some high school,standard,completed,80,91,95
male,group C,high school,standard,none,78,80,74
male,group C,associate's degree,free/reduced,none,77,73,72
male,group E,some college,free/reduced,none,100,84,80
male,group A,high school,standard,none,58,57,55
female,group B,high school,free/reduced,none,62,73,61
male,group E,high school,standard,none,65,54,51
female,group A,some high school,standard,none,39,50,47
male,group E,high school,standard,none,63,53,39
male,group D,master's degree,standard,completed,65,67,63
female,group C,associate's degree,standard,completed,67,76,71
male,group A,master's degree,standard,completed,85,78,79
female,group E,bachelor's degree,standard,completed,80,87,86
male,group C,bachelor's degree,free/reduced,none,60,61,54
female,group E,associate's degree,standard,completed,90,81,92
male,group B,high school,standard,none,77,77,74
male,group B,high school,standard,none,89,81,77
female,group B,some high school,free/reduced,none,56,65,64
male,group A,some college,standard,none,61,50,49
female,group D,some college,free/reduced,none,71,83,85
female,group B,some high school,standard,none,77,92,89
female,group E,some college,standard,none,71,69,68
female,group C,bachelor's degree,standard,none,48,54,47
female,group C,master's degree,free/reduced,none,42,56,57
male,group B,high school,standard,none,60,54,48
male,group E,some college,free/reduced,none,65,62,60
female,group D,some college,free/reduced,completed,53,70,66
male,group C,high school,standard,none,60,50,47
female,group B,bachelor's degree,standard,completed,67,77,81
female,group D,some college,free/reduced,none,49,56,59
male,group B,associate's degree,standard,none,58,61,56
female,group E,some college,standard,none,56,65,66
female,group D,some college,standard,none,57,65,66
female,group E,associate's degree,free/reduced,none,67,57,65
female,group B,some college,standard,none,83,78,85
male,group B,high school,standard,completed,56,56,49
female,group E,high school,free/reduced,none,56,60,57
male,group D,master's degree,free/reduced,none,62,64,57
female,group D,associate's degree,free/reduced,none,59,73,71
female,group D,master's degree,standard,none,64,80,81
male,group D,bachelor's degree,free/reduced,none,82,75,80
male,group B,high school,standard,completed,54,48,46
female,group A,associate's degree,standard,none,62,77,69
male,group C,some college,standard,none,68,67,64
female,group D,some college,standard,completed,71,80,90
male,group D,some college,free/reduced,completed,77,82,82
male,group D,associate's degree,free/reduced,none,50,47,45
male,group D,bachelor's degree,free/reduced,none,77,75,71
female,group A,associate's degree,standard,none,51,60,62
male,group B,high school,standard,completed,81,79,73
female,group D,some college,standard,completed,65,80,82
female,group B,associate's degree,standard,none,40,52,49
male,group E,master's degree,free/reduced,none,64,54,53
male,group D,some high school,standard,none,68,69,62
male,group E,associate's degree,standard,none,84,79,76
female,group D,high school,standard,none,56,59,54
female,group C,associate's degree,free/reduced,none,52,70,63
male,group B,master's degree,free/reduced,none,44,43,44
male,group D,some college,free/reduced,none,44,47,44
female,group D,associate's degree,standard,none,85,88,81
male,group B,associate's degree,standard,none,92,96,91
female,group B,some college,standard,none,69,75,74
female,group E,high school,free/reduced,completed,47,59,57
male,group D,some college,free/reduced,none,66,68,65
female,group B,some high school,standard,none,63,67,69
male,group E,some college,free/reduced,completed,82,76,80
female,group B,some college,standard,none,55,64,64
female,group E,associate's degree,standard,none,84,85,87
male,group B,some college,standard,none,99,84,79
male,group E,some high school,free/reduced,completed,84,76,79
female,group C,high school,standard,none,40,47,51
male,group E,associate's degree,standard,none,85,76,65
male,group C,bachelor's degree,free/reduced,none,72,75,75
female,group D,some college,standard,none,78,96,93
female,group E,some college,standard,completed,71,77,84
male,group B,bachelor's degree,standard,none,65,60,60
male,group A,high school,free/reduced,completed,53,58,58
female,group B,associate's degree,standard,none,77,97,93
female,group C,associate's degree,standard,none,42,57,50
female,group C,high school,standard,none,66,63,70
male,group E,associate's degree,standard,none,82,68,65
male,group C,high school,standard,none,89,89,79
female,group E,associate's degree,standard,completed,100,100,100
female,group B,high school,standard,none,72,73,70
female,group C,high school,standard,none,65,73,66
